Pair,0-Lag Matches,Background Avg,Z-Score,Result
GME↔AMC,591151,576991.75,1.8381182329600962,🛑 NOISE
GME↔KOSS,23722,21861.0,2.7302722340189187,🛑 NOISE
KOSS↔AMC,38290,37494.0,0.8426977960337012,🛑 NOISE
GME↔BBBY,86817,66282.375,17.699786999404015,🔥 HIGHLY SIGNIFICANT (Z>5)
AMC↔BBBY,121298,117401.375,2.625274898841457,🛑 NOISE
KOSS↔BBBY,4556,4228.125,1.661295903530077,🛑 NOISE
GME↔AAPL,113191,108174.25,3.2672707447156832,✅ SIGNIFICANT (Z>3)
GME↔SPY,70841,63918.25,4.994416925614066,✅ SIGNIFICANT (Z>3)
