date,quantity,price
2021-06-10,48994,34.29
2021-06-11,7584,31.53
2021-06-14,10587,31.91
2021-06-15,1508,30.16
2021-06-16,8082,29.46
2021-06-17,124416,29.1
2021-06-18,128147,29.35
2021-06-24,6020,29.31
2021-06-25,1601,30.25
2021-06-29,11621,30.66
2021-07-01,3571,33.29
2021-07-07,300,30.28
2021-07-19,1400,27.16
2021-07-20,1300,27.14
2021-08-05,9902,27.13
2021-08-06,180,27.62
2021-08-09,175,27.24
2021-08-10,16685,27.99
2021-08-11,18150,29.56
2021-08-12,5702,29.54
2021-08-17,1986,27.52
2021-08-20,127,25.89
2021-08-23,346,26.58
2021-08-24,15274,27.38
2021-08-25,24960,28.61
2021-08-26,69513,28.75
2021-08-27,26937,28.01
2021-08-30,5500,28.33
2021-09-01,12054,27.54
2021-09-02,38296,27.74
2021-09-03,51985,27.7
2021-09-08,1553,25.19
2021-09-09,10,24.27
2021-09-16,181,24.01
2021-09-17,803,23.46
2021-09-21,230,23.62
2021-09-22,798,23.12
2021-09-23,651,23.47
2021-09-24,3229,23.46
2021-09-29,36211,22.87
2021-10-05,604,15.7
2021-10-12,27701,14.59
2021-10-14,256380,14.44
2021-10-19,4750,14.72
2021-10-26,47,14.46
2021-11-04,75384,19.3
2021-11-05,117933,20.17
2021-11-08,89474,22.57
2021-11-09,127413,21.67
2021-11-10,29788,21.59
2021-11-12,37594,23.08
2021-11-15,504592,22.54
2021-11-17,880,22.56
2021-11-19,30999,22.9
2021-11-22,846222,23.25
2021-11-23,51754,24.01
2021-11-24,110242,22.27
2021-11-26,9,22.29
2021-11-29,45907,20.9
2021-11-30,1209,20.19
2021-12-01,3903,18.33
2021-12-02,220305,17.11
2021-12-03,744698,18.15
2021-12-06,545891,17.86
2021-12-07,19377,18.58
2021-12-08,36225,19.14
2021-12-09,79930,19.22
2021-12-10,64452,19.13
2021-12-13,578,17.71
2021-12-15,6822,16.4
2021-12-16,95246,16.3
2021-12-17,13520,15.53
2021-12-20,526,15.98
2021-12-21,2802,15.12
2021-12-22,134627,15.77
2021-12-23,664637,15.63
2021-12-27,389,15.98
2021-12-28,2514,16.04
2021-12-29,416,15.11
2022-01-05,18373,14.99
2022-01-06,1090,13.37
2022-01-10,182092,13.8
2022-01-11,52180,13.01
2022-01-12,4136,13.12
2022-01-13,318,13.82
2022-01-18,829197,15.46
2022-01-19,17436,14.06
2022-01-20,3014,13.7
2022-01-21,812,13.43
2022-01-24,21280,12.96
2022-01-25,68151,14.04
2022-01-27,156816,14.15
2022-01-31,70825,15.53
2022-02-01,27100,16.24
2022-02-02,117622,17.08
2022-02-03,27588,17.04
2022-02-04,130953,15.88
2022-02-07,1001,16.19
2022-02-08,249619,16.27
2022-02-09,286422,16.65
2022-02-10,8009,17.01
2022-02-11,6887,16.1
2022-02-14,3609,15.69
2022-02-15,947,15.53
2022-02-16,27307,16.66
2022-02-17,9225,16.11
2022-02-18,6071,15.07
2022-02-22,4019,15.01
2022-02-23,146311,13.69
2022-02-24,191525,13.16
2022-02-25,22082,15.37
2022-02-28,38811,16.17
2022-03-01,347530,16.89
2022-03-02,1168,16.67
2022-03-03,422686,17.23
2022-03-04,26504,16.75
2022-03-07,10435,16.18
2022-03-08,52523,21.71
2022-03-09,163366,22.86
2022-03-10,379994,22.53
2022-03-11,16148,20.96
2022-03-14,8596,19.99
2022-03-15,6079,19.21
2022-03-16,6193,20.38
2022-03-17,62454,21.32
2022-03-18,4117,21.87
2022-03-21,81,22.07
2022-03-22,172972,23.0
2022-03-23,64807,23.52
2022-03-24,5639,22.02
2022-03-25,2598,22.1
2022-03-29,791,26.32
2022-03-30,65650,27.23
2022-03-31,91802,22.75
2022-04-01,96511,22.53
2022-04-04,61605,22.84
2022-04-05,1681,22.82
2022-04-06,31659,21.81
2022-04-08,4004,19.87
2022-04-11,51271,19.48
2022-04-12,14440,19.27
2022-04-14,41393,17.76
2022-04-18,43703,17.33
2022-04-20,8661,16.87
2022-04-21,380,16.38
2022-04-22,18,16.34
2022-04-28,1384,14.67
2022-04-29,20625,14.75
2022-05-02,19305,13.61
2022-05-03,43076,13.72
2022-05-04,138772,14.04
2022-05-05,153,14.22
2022-05-09,374530,12.07
2022-05-10,89173,10.97
2022-05-11,4800,10.11
2022-05-12,50,9.22
2022-05-13,351,9.4
2022-05-16,33739,9.64
2022-05-17,80,9.4
2022-05-18,20,9.76
2022-05-19,23,8.9
2022-05-23,368,8.7
2022-05-24,110492,8.33
2022-05-25,358,7.81
2022-05-26,11425,8.18
2022-05-27,604781,8.54
2022-05-31,6189,9.23
2022-06-01,516,8.65
2022-06-02,325,8.38
2022-06-07,18508,8.1
2022-06-08,381,8.42
2022-06-09,14865,8.15
2022-06-10,1460,7.36
2022-06-13,375457,7.12
2022-06-15,70583,6.95
2022-06-22,17496,6.7
2022-06-23,33434,6.57
2022-06-24,226889,7.13
2022-06-27,5189,7.0
2022-06-29,5911,6.53
2022-06-30,10627,4.99
2022-07-01,58165,4.97
2022-07-05,276104,4.71
2022-07-06,471927,4.64
2022-07-07,177837,4.47
2022-07-08,777475,5.44
2022-07-11,3152293,5.09
2022-07-12,1195149,4.8
2022-07-13,26028,5.04
2022-07-14,44480,5.08
2022-07-15,3887,4.73
2022-07-18,79958,4.96
2022-07-19,836,4.96
2022-07-20,31937,5.25
2022-07-21,136983,5.59
2022-07-22,207048,5.81
2022-07-25,4003,5.11
2022-07-26,3512,5.04
2022-07-27,4501,4.6
2022-07-28,16576,4.68
2022-07-29,44600,4.84
2022-08-01,86853,5.03
2022-08-02,7824,5.77
2022-08-03,35958,5.79
2022-08-04,35134,6.07
2022-08-05,10684,6.15
2022-08-08,50527,8.16
2022-08-09,228529,11.41
2022-08-10,914417,9.79
2022-08-11,1340400,10.51
2022-08-12,1634140,10.63
2022-08-15,430594,12.95
2022-08-16,1393039,16.0
2022-08-17,1289068,20.65
2022-08-18,1390319,23.08
2022-08-19,267120,18.55
2022-08-22,153516,11.03
2022-08-23,1021289,9.24
2022-08-24,791446,8.78
2022-08-25,562542,10.36
2022-08-26,323709,10.1
2022-08-29,215755,10.7
2022-08-30,13690,13.35
2022-08-31,219947,12.11
2022-09-01,333395,9.53
2022-09-02,722260,8.71
2022-09-06,495807,8.63
2022-09-07,411847,7.04
2022-09-08,577774,7.91
2022-09-09,303076,8.24
2022-09-12,144072,8.93
2022-09-13,138122,9.17
2022-09-14,304679,8.37
2022-09-15,239461,8.76
2022-09-16,271022,8.79
2022-09-19,277871,8.02
2022-09-20,656011,8.03
2022-09-21,245088,7.6
2022-09-22,110392,7.27
2022-09-23,176218,7.09
2022-09-26,98425,6.67
2022-09-27,28845,6.37
2022-09-28,7053,6.38
2022-09-29,8989,6.46
2022-09-30,14080,6.19
2022-10-03,72160,6.09
2022-10-04,35859,5.99
2022-10-05,14000,6.53
2022-10-06,19917,5.97
2022-10-07,29562,5.87
2022-10-11,22131,5.3
2022-10-12,2556,5.05
2022-10-13,75978,5.28
2022-10-17,28841,4.93
2022-10-18,19619,5.17
2022-10-19,51517,5.29
2022-10-20,105941,5.0
2022-10-21,32914,5.05
2022-10-24,45482,4.67
2022-10-25,85206,4.26
2022-10-26,221861,5.29
2022-10-27,82172,5.0
2022-10-28,59670,4.98
2022-10-31,154042,4.59
2022-11-01,58343,4.57
2022-11-02,62208,4.41
2022-11-03,97,4.04
2022-11-04,45682,4.02
2022-11-07,152847,3.98
2022-11-08,14948,3.95
2022-11-09,22682,4.0
2022-11-10,53036,3.54
2022-11-14,648936,3.95
2022-11-15,2167696,3.74
2022-11-16,1628170,3.73
2022-11-17,6816,3.49
2022-11-18,116764,3.45
2022-11-21,107292,3.38
2022-11-22,84703,3.11
2022-11-23,167385,3.18
2022-11-25,79716,3.33
2022-11-28,24211,3.24
2022-11-29,3570,3.04
2022-11-30,144406,3.18
2022-12-02,36733,3.54
2022-12-05,209340,3.6
2022-12-06,14762,3.61
2022-12-07,118744,3.34
2022-12-08,108413,3.27
2022-12-09,28928,3.33
2022-12-12,78613,3.08
2022-12-13,127862,3.13
2022-12-15,16370,2.91
2022-12-16,56402,2.98
2022-12-19,107836,2.98
2022-12-20,805634,2.78
2022-12-21,898693,2.71
2022-12-22,287350,2.65
2022-12-23,314844,2.51
2022-12-27,418525,2.58
2022-12-28,179960,2.47
2022-12-29,440175,2.39
2022-12-30,329519,2.52
2023-01-03,266149,2.51
2023-01-04,623368,2.31
2023-01-05,1907553,2.41
2023-01-06,1813239,1.69
2023-01-09,2087811,1.31
2023-01-10,887729,1.62
2023-01-11,2831292,2.07
2023-01-12,4226305,3.49
2023-01-13,4783455,5.24
2023-01-17,3990460,3.66
2023-01-18,6182192,4.14
2023-01-19,7188690,3.94
2023-01-20,6285145,3.79
2023-01-23,6812634,3.35
2023-01-24,5517907,2.94
2023-01-25,4542876,3.39
2023-01-26,3893150,3.24
2023-01-27,3509913,2.52
2023-01-30,3514459,2.55
2023-01-31,6090149,2.87
2023-02-01,5563683,2.82
2023-02-02,6272306,2.82
2023-02-03,5224587,3.33
2023-02-06,5476048,3.05
2023-02-07,5084839,5.86
2023-02-08,4230505,3.01
2023-02-09,2926822,2.61
2023-02-10,7636097,2.6
2023-02-13,6190417,2.35
2023-02-14,1998058,2.04
2023-02-15,3653437,1.94
2023-02-16,5353,1.93
2023-02-17,9363506,1.8
2023-02-21,7871493,1.81
2023-02-22,7617374,1.64
2023-02-23,5939069,1.62
2023-02-24,1293368,1.5
2023-02-27,3073052,1.53
2023-02-28,5981531,1.48
2023-03-01,6635598,1.41
2023-03-02,4736254,1.5
2023-03-03,4653531,1.56
2023-03-06,2418044,1.49
2023-03-07,6317235,1.39
2023-03-08,4755953,1.34
2023-03-09,3054128,1.3
2023-03-10,2875576,1.23
2023-03-13,1235210,1.34
2023-03-14,2248143,1.24
2023-03-15,8253150,1.15
2023-03-16,1546779,1.03
2023-03-17,1231592,1.06
2023-03-20,6502725,1.03
2023-03-21,9513224,0.81
2023-03-22,2395951,0.82
2023-03-23,627353,0.8
2023-03-24,119997,0.79
2023-03-29,2919772,0.79
2023-03-30,166315,0.8
2023-03-31,170348,0.59
2023-04-03,220229,0.43
2023-04-04,17671,0.38
2023-04-05,648018,0.35
2023-04-06,111459,0.34
2023-04-10,1000,0.31
2023-04-11,325179,0.3
2023-04-13,5986021,0.28
2023-04-14,560739,0.26
2023-04-17,8303299,0.24
2023-04-18,199415,0.28
2023-04-20,23930,0.46
2023-04-21,570594,0.3
2023-04-24,1616543,0.29
2023-04-25,586175,0.19
2023-04-26,3341655,0.2
2023-04-27,433796,0.11
2023-04-28,35049,0.12
2023-05-01,120559,0.11
2023-05-02,37426,0.1
2023-05-03,177505,0.08
2025-09-02,1979,9.01
2025-09-03,1660,8.14
2025-09-04,484,8.55
2025-09-05,24063,8.76
2025-09-08,4519,9.88
2025-09-09,17940,10.36
2025-09-10,5810,11.11
2025-09-17,864,9.81
2025-09-22,2158,9.52
2025-09-24,20951,9.0
2025-09-29,5370,9.4
2025-09-30,16305,9.23
2025-10-02,1566,9.99
2025-10-03,1098,11.75
2025-10-06,29857,12.02
2025-10-07,8852,12.11
2025-10-14,30,8.65
2025-10-16,406,8.28
2025-10-20,150,7.87
2025-10-21,1054,8.53
2025-10-22,829,8.38
2025-10-30,84,8.19
2025-11-04,9112,7.63
2025-11-14,296,6.37
2025-11-17,20054,6.03
2025-11-26,26068,5.68
2025-12-01,19700,6.02
2025-12-03,514,5.99
2025-12-04,12354,6.59
2025-12-19,7499,6.17
2025-12-31,2973,5.49
