date,quantity
2010-12-27,5428
2010-12-28,75
2010-12-29,25
2010-12-30,36
2010-12-31,25
2011-01-03,20
2011-01-04,50
2011-01-05,5545
2011-01-06,367
2011-01-07,24659
2011-01-10,40
2011-01-12,1472
2011-01-13,195
2011-01-14,46348
2011-01-18,1487
2011-01-19,100
2011-01-21,4472
2011-01-24,339
2011-01-25,7793
2011-01-27,16641
2011-01-28,50
2011-01-31,20194
2011-02-01,1117
2011-02-04,19
2011-02-07,50
2011-02-08,1535
2011-02-09,205
2011-02-10,549
2011-02-11,87
2011-02-14,22180
2011-02-15,1604
2011-02-16,73
2011-02-17,2576
2011-02-18,752
2011-02-23,33465
2011-02-24,1846
2011-02-25,2431
2011-02-28,25
2011-03-01,8310
2011-03-02,6
2011-03-03,3500
2011-03-04,10083
2011-03-07,630
2011-03-08,150
2011-03-09,4684
2011-03-10,50
2011-03-11,65
2011-03-14,100
2011-03-16,200
2011-03-18,778
2011-03-21,2153
2011-03-22,400
2011-03-23,624
2011-03-24,201
2011-03-29,473
2011-03-30,305
2011-03-31,200
2011-04-01,63
2011-04-04,195
2011-04-06,34243
2011-04-07,55
2011-04-08,662
2011-04-11,182
2011-04-12,1029
2011-04-13,36
2011-04-15,4
2011-04-19,299
2011-04-20,1905
2011-04-21,40
2011-04-25,53
2011-04-26,28
2011-04-27,875
2011-04-28,238
2011-04-29,10375
2011-05-02,105
2011-05-03,34
2011-05-04,80
2011-05-05,2507
2011-05-06,1526
2011-05-10,453
2011-05-11,3437
2011-05-12,243
2011-05-13,62
2011-05-18,945
2011-05-19,3695
2011-05-20,3893
2011-05-23,3073
2011-05-24,526
2011-05-25,330
2011-05-26,431
2011-05-27,3014
2011-05-31,250
2011-06-01,529
2011-06-02,90
2011-06-03,19440
2011-06-06,19370
2011-06-07,21792
2011-06-08,30350
2011-06-09,40437
2011-06-10,19676
2011-06-13,408
2011-06-14,1460
2011-06-15,80
2011-06-16,154
2011-06-17,75241
2011-06-20,991
2011-06-21,4428
2011-06-22,5571
2011-06-23,1154
2011-06-24,200
2011-06-27,58873
2011-06-28,182
2011-06-29,10493
2011-06-30,907
2011-07-05,600
2011-07-06,6597
2011-07-07,743
2011-07-08,8021
2011-07-11,2847
2011-07-12,4329
2011-07-13,5981
2011-07-14,883
2011-07-15,2357
2011-07-18,4400
2011-07-19,5436
2011-07-20,49303
2011-07-21,4208
2011-07-22,8350
2011-07-25,21960
2011-07-26,5771
2011-07-27,1254
2011-07-28,9469
2011-07-29,915
2011-08-01,5641
2011-08-02,1779
2011-08-03,200
2011-08-04,15787
2011-08-08,849
2011-08-09,320
2011-08-11,50
2011-08-12,34339
2011-08-15,1536
2011-08-16,15165
2011-08-17,47742
2011-08-18,5000
2011-08-19,11630
2011-08-22,2837
2011-08-23,50651
2011-08-24,2165
2011-08-25,15299
2011-08-26,15333
2011-08-29,14164
2011-08-30,5587
2011-08-31,34879
2011-09-01,39026
2011-09-02,11633
2011-09-06,434
2011-09-07,303
2011-09-09,2481
2011-09-12,933
2011-09-14,1380
2011-09-15,700
2011-09-19,78066
2011-09-20,44140
2011-09-22,4624
2011-09-23,2267
2011-09-26,126
2011-09-27,428
2011-09-29,7106
2011-09-30,11156
2011-10-03,4709
2011-10-04,775
2011-10-05,1945
2011-10-06,18
2011-10-07,7788
2011-10-11,1026
2011-10-12,15099
2011-10-13,2333
2011-10-14,157
2011-10-17,1165
2011-10-18,1907
2011-10-19,958
2011-10-20,90
2011-10-21,9312
2011-10-24,384
2011-10-25,5413
2011-10-26,40
2011-10-27,1325
2011-10-28,1131
2011-10-31,1849
2011-11-01,2381
2011-11-02,246
2011-11-03,938
2011-11-04,185
2011-11-07,9299
2011-11-08,200
2011-11-09,13256
2011-11-10,200
2011-11-14,1537
2011-11-15,27155
2011-11-16,9544
2011-11-17,690
2011-11-21,300
2011-11-22,57535
2011-11-28,523
2011-11-29,2276
2011-11-30,2403
2011-12-01,98
2011-12-02,13
2011-12-05,4212
2011-12-06,75
2011-12-07,614
2011-12-09,90
2011-12-12,210
2011-12-13,2
2011-12-14,14601
2011-12-15,433
2011-12-16,2500
2011-12-20,1288
2011-12-21,1283
2011-12-22,172690
2011-12-23,12108
2011-12-27,6314
2011-12-28,6784
2011-12-29,624
2011-12-30,166
2012-01-03,241
2012-01-04,104
2012-01-05,1000
2012-01-06,2001
2012-01-09,2
2012-01-10,5
2012-01-11,397
2012-01-12,1465
2012-01-13,29
2012-01-17,238
2012-01-18,548
2012-01-19,181
2012-01-20,937
2012-01-23,13312
2012-01-24,34382
2012-01-25,537
2012-01-26,303
2012-01-27,49
2012-01-30,2401
2012-01-31,1
2012-02-01,1384
2012-02-02,26077
2012-02-06,26585
2012-02-08,4665
2012-02-10,1469
2012-02-13,1622
2012-02-14,200
2012-02-15,2965
2012-02-16,2963
2012-02-17,2476
2012-02-21,340
2012-02-22,1012
2012-02-23,3040
2012-02-24,421
2012-02-27,3366
2012-02-28,420
2012-02-29,1695
2012-03-01,10923
2012-03-02,1811
2012-03-05,329
2012-03-06,250
2012-03-07,3304
2012-03-09,3129
2012-03-12,2402
2012-03-13,1194
2012-03-14,10
2012-03-15,57199
2012-03-16,25
2012-03-19,4663
2012-03-20,1472
2012-03-21,8438
2012-03-22,6487
2012-03-23,3321
2012-03-26,2373
2012-03-27,1058
2012-03-28,15494
2012-03-29,5770
2012-03-30,3677
2012-04-02,1061
2012-04-03,921
2012-04-04,8
2012-04-05,22747
2012-04-09,45081
2012-04-10,572
2012-04-11,456
2012-04-12,415
2012-04-13,29068
2012-04-16,589
2012-04-18,2482
2012-04-19,1100
2012-04-20,10014
2012-04-24,659
2012-04-25,659
2012-04-26,753
2012-04-27,410
2012-04-30,10965
2012-05-01,3215
2012-05-07,2745
2012-05-08,12135
2012-05-09,5564
2012-05-10,1392
2012-05-11,1897
2012-05-14,4754
2012-05-16,8
2012-05-17,4401
2012-05-21,2900
2012-05-22,9762
2012-05-23,5997
2012-05-24,15238
2012-05-25,4851
2012-05-29,3215
2012-05-30,1527
2012-05-31,1717
2012-06-01,6944
2012-06-04,2700
2012-06-05,1316
2012-06-06,5716
2012-06-07,336
2012-06-08,1285
2012-06-11,1224
2012-06-12,76
2012-06-13,9629
2012-06-14,575
2012-06-15,2735
2012-06-18,1
2012-06-19,660
2012-06-20,14696
2012-06-21,19
2012-06-22,22
2012-06-26,322
2012-06-27,1309
2012-06-29,105
2012-07-02,299
2012-07-03,395
2012-07-05,3426
