date,quantity,price
2021-07-29,3547,4.81
2021-07-30,4722,4.8
2021-08-02,13834,4.69
2021-08-03,12850,5.18
2021-08-04,11853,5.14
2021-08-05,6553,4.77
2021-08-06,2901,5.04
2021-08-09,5356,5.5
2021-08-10,19834,5.72
2021-08-11,9970,6.31
2021-08-12,167260,6.31
2021-08-13,91744,6.01
2021-08-16,12284,6.02
2021-08-17,2000,5.95
2021-08-23,142434,6.72
2021-08-24,219434,6.99
2021-08-25,264862,7.26
2021-08-26,1705,6.42
2021-08-27,60355,6.17
2021-08-30,700,6.45
2021-08-31,10875,5.92
2021-09-07,92,5.39
2021-09-08,6953,5.43
2021-09-10,7566,5.37
2021-09-13,6927,5.28
2021-09-15,4509,5.44
2021-09-17,9367,5.59
2021-09-20,4472,5.37
2021-09-22,3827,5.09
2021-09-23,10586,5.28
2021-09-24,29465,5.41
2021-09-29,100,5.24
2021-09-30,1889,5.11
2021-10-04,2821,4.73
2021-10-05,100199,4.69
2021-10-07,423,4.41
2021-10-08,2888,4.56
2021-10-12,7622,4.54
2021-10-13,6507,4.56
2021-10-15,16115,4.42
2021-10-18,8,4.36
2021-10-21,1686,4.19
2021-10-22,14878,4.23
2021-10-25,11137,4.15
2021-10-26,5789,4.14
2021-10-27,28370,3.94
2021-10-28,2599,3.79
2021-10-29,1897,3.9
2021-11-03,40936,4.28
2021-11-04,71680,4.28
2021-11-05,39335,4.27
2021-11-08,3345,4.45
2021-11-09,9763,4.38
2021-11-10,14091,4.39
2021-11-12,800,4.22
2021-11-15,83460,4.27
2021-11-16,4003,4.31
2021-11-17,1225,4.21
2021-11-18,16070,4.15
2021-11-19,16369,4.55
2021-11-22,313,4.27
2021-11-24,84086,4.45
2021-11-30,556,3.82
2021-12-01,147,3.64
2021-12-03,40110,3.88
2021-12-06,451272,3.43
2021-12-07,1235,3.47
2021-12-09,25430,3.68
2021-12-10,9414,3.62
2021-12-13,1703,3.44
2021-12-14,3608,3.2
2021-12-17,20561,2.92
2021-12-20,33281,2.92
2021-12-21,10667,3.0
2021-12-22,649,3.11
2021-12-23,24424,3.13
2021-12-27,15093,3.07
2021-12-28,1713,3.05
2021-12-29,6088,3.07
2021-12-31,1477,3.31
2022-01-03,41046,3.08
2022-01-04,540,3.27
2022-01-05,1697,3.33
2022-01-06,8956,3.05
2022-01-10,12085,3.05
2022-01-11,174418,2.99
2022-01-13,11601,3.13
